Stars,Title,Date,Review Body
3,Nice features but unfortunately it didn’t work for me.,2021/7/6,"Charged it fully before I attempted to use it, then Tried it twice on two different cars, and unfortunately it would not work. As a matter of fact, it didn’t even attempt to work. I really wanted it to workout because it has other nice features that I really liked."
5,Hulkman Alpha 85,2022/3/8,This is the IPhone of portable jumpers.  Solid build excellent feel and features.  I have one for every car I own.  Better than anything else out there.
5,Worth the money,2022/1/27,"Seemed expensive but really does outperform any other similar product our household has owned (and there have been a few)
Charges very quickly
Holds charge for months
Strong enough to recharge laptops via USB-C
Great interface shows charge rate and green ""ready to jump"" makes jumping a vehicle pretty much idiotproof
Would recommend!"
5,You won’t regret this purchase,2021/8/7,Best purchase I’ve ever made. Works better than expected. I jumped started my 15kw generator. And my Ford Explorer. Worked like a charm. After both it was still at 88% battery life. Best thing to have around. I would pay more for it. Worth every penny. Love it. Love it. Love it.
5,Exactly as advertised,2021/6/15,I used this booster  for the first time and jumped 5 batteries and boosted 5 different batteries.  I still had over 50%.  This thing is a beast.  Definitely would buy again and recommending to all i know.
5,Great product,2022/1/15,"This is really helpful, I had multiple battery failure in last week due to car electric issues, battery jump starter works everytime. This is great product."
5,So far so good.,2022/2/28,When I received it it was 85% charged and too only 10 min to fully charge. It started my straight 6 up WTH 1 crank and the %went down to 97%.
5,Price,2021/11/26,"The jump box working great no issue starting cars and bmw diesel engine, charge to fast, only recomended if the car don’t start at first attempt disconnet the jump box and wait one minute to prevent overheating in the jumpbox and enter in safe mode for 10 minutes"
5,So much power in a small package,2021/9/23,"I loved the portability of it. It turned my 5.7 Chevy engine with power to last.
Its small enuf to take with me on my Harley when I go on long rides. I can recharge our batteries in emergencies, our cellphones or basically anything needing power."
5,Great power to start vehicle easily.,2022/1/10,I really like the unit and ease of use and it is very powerful.  I think it is a little big and requires more room to store it in the vehicle but that is the tradeoff for a more powerful unit.  Would definitely recommend to a friend!!
5,Easy and pwerful jumpstarter,2020/12/22,"Bought this Jump starter for my father inlaw. He has a mini ""junk yard"" at his property and he likes to work on cars.  Some of them have iffy batteries in them and thissweet device is easy for him to use since it does not have any extra settings like the old jump boxes do. He has jumped a few cars and he has thanked me for this gift many times now. Last time I was at his house, he jumped a 98 F150 and his John Deere tractor> he likes showing it off to his friends and he brags about how nic and easy it is..  All in all, a great purchase and gift"
4,Great size. Very useful so far,2021/3/24,We actually have this battery for use to recharge a remote in our house. It is really nice that it does not continually output power. It fills the remote and then rests itself. It is very small for having the ability to start a car.
4,"Great bundle, wish it had a carrying case.",2021/2/19,"Jump starter charged up fast using the INCLUDED fast charger!  I would have liked to see the package come with a carrying case. However, I feel that it was a good value when you take in account all of the included accessories."
2,Decent jump pack.,2021/1/1,Easy to use. Drops down charge very quickly if used multiple times. Overheats. Can't charge if too cold or hot. Errors out very quickly.
1,Didn't work,2022/2/12,Didn't work. Returned for refund.
5,"Sturdy, well made and charges in a jiffy!",2021/6/28,"Sturdy like a rock. Has quick charge chip, which helps charge up the jump starter faster. It’s also very well made. Well, I’d call it the ‘Apple’ of jump starters. Detail oriented design and premium quality of materials."
5,Tesla jump start,2022/1/15,"With same day delivery, I was able to use the Hulkman to open the front trunk on my Tesla model 3 when the 12v battery died. Once inside the trunk, I used the Hulkman to reboot the car’s computer and get the car back on the road. Thank you Hulkman."
5,Hulkman Alpha85 is a miracle saver.,2022/4/23,"Today, I helped a stranger whose pickup truck ran out of battery in a gasoline station.  The attendants tried to use a big car battery to jump start but failed. I offered to help. This was the first time ever I used my Hulkman85. And his truck turn to life,  in just one attempt.  He was very grateful.  I told him to take a photo of the hulkman and buy one for himself.  Location: Philippines."
5,Portable,2021/12/23,Very good product
5,Excellent to have!,2021/8/24,This is one of those things that once you own you can’t imagine living without. No ware and tear on your battery to jump another vehicle. Awesome functionality and look. It is however not obvious on how it functions with the controls. Easy once you figure it out though.
1,Mine has never worked,2022/4/30,"I had bought this hoping it was going to come in handy when I needed it. One of our vehicles would not start and it was game time, o Lord, how disappointed. The jump starter was fully charged, at least it was showing me that. I am not sure what is the issue but after trying numerous times, we reverted to the old cable jumpstart and connected out second vehicle and we were successful. Either I was sold a bad unit or this thing do not work!"
4,"good product, but has no carrying case",2022/3/5,"This product is fine except there is now storage/carrying case.  My fault for not reading the entire description I guess.  I had another product just like this but I gave it to my son, so I thought I would upgrade to a new one.  My old one had a great little carrying cast that held all off the accessories.  I guess I will just have to store this one in the box it came in."
5,Easy to use,2021/3/22,Charged fully before use.  Connected to car battery and jumped start immediately.  Very easy to use and handy to have.  Worth every penny.Previously purchased one from Costco that ended up returning because it didn’t work.
5,Ever so happy with this buy!!!,2021/3/23, All I can say is winner winner chicken dinner but has been so much help for the cold mornings in my Ford ranger takes less then 6 to 8% to usually jump.
5,Worked in -23°,2022/1/9,"I have never had any luck with portable jump starters but bought this Hulkman 8.5 as a necessary item for up north. My 5.7L Ram sat for 3 days in -23F weather, then would not start. No cranking or clicking. Just frozen. The Hulkman did it though!  Attached it, waited for 30 seconds and the Ram started right up. Also used it on the UTV in -11F. Great product. Would highly recommend. No more waiting for someone else to jump start vehicles."
5,As Advertised,2021/3/21,"This large capacity quick charging battery with easy to read battery charge started up my silverado in no time! I have another battery jump starter that required me to push a button, it would then beep, then I'd have to get in the truck and try crank it. If it didn't take I'd have to repeat the process all over again... With this unit I just have to attach the connectors and that's it, i then just get in the truck and turn the key! Much less hassle, would definitely recommend 👌"
5,BEST JUMPSTART FOR THE MONEY,2022/1/8,DONT LISTEN TO THESE FOOLS THAT ONLY GAVE 1 STAR THIS JUMPSTART IS BADASS I HAD ORDERED 3 AND NO PROBLEMS AT ALL STARTED MY HUMMER RIGHT UP WITH A DEAD BATTERY SO DO YOURSELF A FAVOR AND PURCHASE THIS ONE BEST BANG FOR YOUR BUCK
2,"If you need a jump, this isn’t it.",2021/7/27,"Nice set up, easy to understand and use. However, very disappointed it would fail to work on a 92 Mustang 5.0. It literally did nothing, except make the clicks of my dead battery stop."
5,For the very 1st time.....,2022/5/18,"I've been shopping the world for a very long time, for a vast many products and never have i been so impressed by the product, the seller and the delivery. The HULKMAN Alpha 85 Battery Jump Starter has paid for itself already. After other terrible past chargers Its truly the best i've experienced. In power and ease of use. I ordered this at roughly 7:30 am for a 10am-3pm delivery and it arrived at 10:15am.

Bravo Amazonians"
5,Safe,2021/12/5,I have not needed to use it yet. My husband wanted me to have one to keep me safe so I don’t have to ask someone to jump my car. I will update when I use.
5,Love it.,2021/10/3,I really like this device. I have used it at least 6 times already. Works like a charm. I dont have to worry about jumper cables or asking someone to please give me a jump. It only uses 2% power to jump my totally dead battery in a  3.5l van. I can do it all safely by myself.
5,Easy to use,2021/1/25,Out of the box the unit is very easy to use and seems built nice. I didn’t have to use to jump a car but I use it to charge multiple different things. The size of the thing is amazing. I hope it works when and if the battery goes bad.
5,"Instructions could be a lot better, but I was able to figure out everything",2022/4/19,"I've used this product 4 times already, and it worked flawlessly due to the battery going dead on my 2019 Toyota Tacoma"
5,Works better than expected.,2022/1/6,"Using this is very easy. Simply connect it then watch the display.
After connecting it to the battery the display turns on indicating its charge level and whether or not it's ready to jump.

I've used it to jump 4, 6, & 8 cylinder cars & truck.
Charges quickly with a 36w charger & USB C cable."
5,Start me up,2021/8/23,Needed to start my second car with a dead but good battery. Starter the car. Drove it on the freeway for about 15 min. Put the unit on charge and got the battery back up over 75%. Now I start the car once a week on its own. This saved me a lot.
5,It works,2022/3/20,"Yes it will jump a 6.7 ford.
Yes it charges phones an has a cool flashlight.
Read instructions and you can't go wrong. A++"
1,Didn't work on a 2003 PT Cruiser,2021/12/19,"It did not work for my 2003 PT Cruiser. I got the unit the same day the car stopped cranking. 100% charge, it did show ready once connected but no luck. Using another car's battery I was up and running in a minute"
5,Everybody needs at least one of these!,2022/2/13,"After experiencing a battery issue with the boat, I bought this unit. Within a week I needed to put it to work on another battery problem. I now own three of these jump starters, kept in the cars & boats. Compact and easy to use. Everyone should have one of these in their vehicle."
5,Plenty of power & Easy to use,2021/3/14,"Really like this product. It was extremely easy to use. Bulky and heavy compared to my brothers, but probably because of the battery size and power. It delivered plenty of cranking power on 1st use. As a matter of fact, it cranked my tractor mower faster than my big electrical charger/jumper. That was the main reason I purchased, cause tractor doesn't charge battery. Highly recommend this product."
5,Strong,2021/8/21,"Out of the box, it had 65%. No charging went straight to jump a 4cyl care with no issues. It went down only 2%. Without charging it back up, I jumped my diesel truck. It went down 4%. Not bad. It had plenty of juice."
5,Works great !,2021/12/7,"Finally got to use it, 12/6/21 purchased last summer,  used on a completely dead battery it started the car within 2 revelations of the engine,  quite expressed with the power pack."
5,Better than any jumper cable,2022/2/9,Nice heavy unit feels like quality. Used once already still 95% of the hulk man battery left. Easy and powerful jump of Ram 5.7 hemi in the cold
3,Cables are REALLY short.,2021/7/2,The cables on this thing are REALLY short.  I can't use it safely.  I'm afraid of when I start the engine it falling & getting/being near moving parts.  If the cables were longer I would give 5 stars.
5,Big ol’ Battery,2021/3/20,"Haven’t had to use it yet, but it’s a honking battery that comes with all of the cables that you could possibly need. It charged up very fast. Only wish it had a case or bag to store it in, for now I’ll use the box it came in."
5,It WORKS!,2022/3/8,"I bought one for each car.  I was in the school parking lot today when a grandmother realized her battery was dead.  I grabbed the hulkman, attached the proper clamps to the battery terminals.  It immediately indicated “ready,” so she turned the key and presto, the car started!  So easy, so safe, and so many people in that parking lot buying a Hulkman today!"
4,Got out charged it tried starting  lawnmower  didn't do anything  (junk),2022/4/6,Followed directions tried on lawnmower didn't do anything 1st battery was low but this thing dint make any difference
5,Haven’t used yet but . . .,2021/7/3,"I bought this for emergency purposes so have not used it yet. That said, the product is packaged extremely well and the instructions are very, very clear. It appears well made and the clips are, again, well made. I expect the starter to work as described by the mfg."
5,Buy it!,2021/4/10,So much easier than jumper cables. Jumped a F-350 without using more than 2% of its charge.
5,Easy to use. Charges fast!!,2021/3/11,Have owned 3 for about a year now and definitely worth it! Good enough for small-medium size vehicles and maybe some suvs. They all still work and even use them to charge my phones and tablets since it provides very fast charge.
5,"Practical, the best purchase you can make",2022/4/26,"I bought it for an emergency because I really knew that I needed to change the battery of my car but it has been the best purchase I have made when I used it I only connected it to the battery and without much effort it started, now my brother-in-law has also had problems and using and I would really recommend this product it is the best purchase you can make it is very practical and useful"
5,Works and looks good!,2021/5/26,"I honestly liked it, I read some bad reviews and was nervous about it working. But yeah it looks awesome and started my car right up first try (2015 Dodge Charger 5.7L Hemi). I would buy again and recommend to friends."
5,Great Power Sources,2021/12/4,Bought as a bqxk up for my motoecycle ... charged and left it on the motkrcyxle.  A neighbor needed a jumo and askes if I had jumper cables - took it out and it jumoed his truck with no problem - only lost 5% of the charge - awesome
5,GREAT!!!,2022/3/23,I've already had to use this jump starter and I'm very pleased with it...easy to charge and use...would definitely recommend...
5,Great charger!!,2021/3/18,"I LOVE it!!! It has a nice rugged feel it solid built, wife battery was going dead for a few nights and it was starting it like it had a good battery, ordering a new one wife took mines!! 🤣 Oh well great charger!!!"
5,Worked 3 times,2021/11/9,"Used it 2 or 3 times and now only gives an error message when trying to jump start my vehicle.
Update: Emailed tech support and got a response immediately. We did some trouble shooting and resolved the issue. They have a great team and great product 👍"
5,LIFE SAVER!,2021/1/14,This product has saved my life! Tested this bad boy out during a snow storm. My company vehicle was completely dead and what a better way to test my new hulkman jumpstarter. Very easily to use! Quick charge came in handy and the built in LED lights made it easy to see my battery easily. 100% this is hands down one of the best investments I ever made. I highly recommend!
3,Had to use a different battery charger.,2022/3/2,"Attempted several try’s on my completely dead battery even using the force start and nothing.
Very frustrating and disappointed especially since it’s supposed to be so simple and be a powerful dynamo.
I ended up using a friends jump starter."
1,Dont waste your money,2021/11/10,This product does not work at all!  Tried it on our garden tractor and no go.  Do not recommend!  Can't depend on it!  High priced junk.  Return it!
5,Used it 4 times in one day,2021/10/31,Bought a used 2017 F-150 5.0l last year that still had the OEM battery installed. Wasn’t sure how much longer it would last so I bought this guy as insurance. Thank you Hulkman!  Leaving for work yesterday the battery finally went dead. Hulkman got me started immediately and I was able to use it three more times until I could get to the auto parts store for a battery replacement. I was skeptical seeing how small it was but man it was a savior when I needed it.
5,Versatile product with a neat carry case,2021/10/10,Works really well and both lights are very useful. First thing I used was the 12volt adapter for my tire inflator .. which was seamless.. will update once I've had a chance to use on a car
5,Cool beans,2022/1/28,It came well packaged and it look really nice I didn’t use it yet . But it was easy to set up and put together Happy with it .. yes indeed !!!!
5,Great product,2021/5/3,Great product. I used it this weekend. It was  so simple even a millennial could use it if only they owned a car. Great packaging. One of the best purchases I’ve had recently. I highly recommend it.
5,Best Power Jump unit I’ve ever used!,2022/1/7,"This thing is amazing! Can jump a Range Rover Supercharged engine MANY times.  After 3 uses to start a dying battery, the jump box was only down to 91%!  So worth the money!  And talk about charging fast, this unit will charge from 2% to 100% in 1hr"
5,Bingo. I love it .,2021/2/22,"I bought this in February but just today needed it. Accidently,  I had left a switch on in a spare van for 3 days. I hooked it up but not enough juice for anything and some warning icons on the display. I push both the Power Button, Click, all was ok. I got in and started but only ran a few seconds and died ? So I did it again. Bingo all was well.  Charger showed 85%. I'm not sure why it cut off after a few seconds ?  But I'm well satisfied."
5,Well built marine battery charger,2021/6/1,The only thing missing is a case.  The unit is very sturdy.  Sure beats carrying a car or truck battery to the boat.  Already had the opportunity to use it and started the old battery right away.
5,Great buy on this car starter,2021/6/24,Excellent buy for the price. Works flawlessly. I was surprised when I hooked it up to my dead truck battery and it started right up. Easy to store. Portable. Highly Recommend.
5,Bought as a Replacement!,2021/12/8,"Bought this to replace my worn-out jump-starter, for when my car battery dies!
(Haven't had a use for it, yet! Let's hope that I never need to use it!)"
5,Reliable,2021/3/11,In my opinion the hulkman is a lifesaver!  I’ve used 3 times since I’ve bought.  It’s nice not having to rely on another car when your car battery is dead. I ended up buying one for my wife’s car also.
5,I have confidence I can drive my tired old Subaru without getting stranded…again,2021/5/17,"Impressive device. Really thoughtfully designed.

Pros: has force mode to jump completely dead battery. Worked perfectly on a flatlined battery in a Subaru. Everything fits perfectly in the optional storage bag.

Cons: instructions on backside are in a small font I with a silver on black color that is hard to read for non-youthful eyes. Just take a picture of it with your phone so you can zoom in and read everything."
5,This thing is amazing!!! Saved my butt plenty of times.,2021/9/13,I like that it's so small an fits in my arm rest. I drained my battery one night camping an this thing started my car faster an was way easier than having 6foot cables an needed to find another Good soul to stop an help you. So easy! You clamp wait till it says ready! Which does not take long at all an start your vehicle. Even says when your running low an need to charge an that also doesn't take long at all. I'm waiting to help someone in need just so I can use this bad boy!!
5,Worked perfectly,2022/1/9,"The battery stays charged without use. We’ve started cars, trucks and a motorcycle. It’s worked as it should every time. Thumbs up!"
1,Doesn’t charge,2021/8/23,Used product one time and does not charge. I’m out of refund range. I would like replacement to give it another try.
5,"Don't look anywhere else, this item works perfectly!",2021/7/19,Don't look anywhere else! I have jumped vehicles 10 times now and 5 out of the 10 the battery was completely dead. Just remember when the battery is completely dead hit the two button simultaneously. It needs that extra boost. It also charges in less than 5 minutes. It is extremely simple to use. The clamps and everything are high-end.
5,Works great,2022/1/14,This was very easy to use and got my car started right away. Very easy and convenient and I didn’t have to wait for roadside assistance!
5,Handy and dandy.,2021/8/2,Thank you. Empowers u so u don't feel like u have rely on others. Thanks 😂 I have a second car.. I don't always start..so busy and when I go to start it..I needed this.
5,Love this thing!,2021/12/4,I've had my Hulkman 8.5 for exactly two months and the charge has remained at 100%. I finally got a chance to use it today. My work truck died so I ran out to my car to get the Hulkman. Cummins 8.9L started instantly. The charge only went down to 90%.
5,It WORKED!,2022/2/9,"Just talked my wife through using the battery. She's, well, not technical. This device works as advertised and is simple enough to use that any non-technical person can do it. Money well spent!"
5,Quicker to buy than waiting for AAA,2021/10/18,"Quicker to buy with prime and receive, and hook up to jump car than waiting for AAA to arrive. Worked flawlessly, easy to use. Portable. There’s a case you can buy too that fits it nicely. Definitely something everyone should have as one of those “better to have and not need than need and not have” items. Because when you need it and don’t have one… no fun. Nice display of battery power. With flashlight to see battery connectors in the dark."
5,Best tool in my truck!!,2022/1/7,Bought this product due to having battery issues. Best product I ever purchased. I also purchased a carrying case with it so I can put it in floor of my truck or in the back. It is amazing the power this lil battery pack has. You won’t go wrong by buying this
5,Worth every penny!,2022/4/12,This worked great to start my wife's totally dead prius. Much easier than jumper cables to use and to store.
5,HULKMAN,2020/12/27,"I really like this Hulkman battery booster so far, it's very easy to use and offers a lot of uses.  Not only can it jump start your car, but you can also charge several devices like your cellphone and other electronics."
5,Gets anything started,2021/10/1,"I bought this as a ""just in case."" Since then, I have used it quite successfully on two cars. I will never take an out-of-town trip without it."
5,Fastest jump start I have ever had.,2021/3/17,"Worked great the very 1st times I used it. I started 2 motors with it, and it cranked over really fast.  I was using a big truck battery to jump motors. This is much faster and lighter, Indiana flashlight with you when your hooking up the clamps."
5,Really works,2022/2/25,"I used this product to jump a car it used about 8% of its charge. So, you can jump a car several times on one charge."
5,Works as it should,2022/2/5,"Bought one of these after running down a battery in my truck while waiting to get seated at a restaurant.
Luckily there was tow truck in the same lot waiting to be seated, and they used one to jump start my older tahoe. Ordered on the nest day. It holds a charge for a long time. My old jump started kept going dead in a few weeks. I recommend this product"
5,Wonderful must have,2021/10/31,"I was calling Auto service often for jumps on Dodge Charger. Once connected easily,
my car engine turned over right away.
3.6 liter engine was easy to start."
3,Has a mind of its own,2021/5/13,"This device looks well designed, has nice branding and packaging, and is aesthetically on point. However, it has a feature that is not desirable. If you try 3x to get the engine to turn over, and are not successful, the device locks the ability to charge for 10 minutes. This is a well intentioned feature, but let me make these decisions for myself. I didn’t pay to have a device make decisions. I paid for a charging unit.

I’d advise against this purchase."
5,Love it!,2021/5/29,It showed up charged to 80%. I plugged it in and charged it up to 100%. I keep it in my trunk mainly as a backup. The other day my mother in law had a dead battery. This thing jumped it no problem. And then back in the trunk. It’s been about two months and it’s currently at 82%. And used it once.
5,Just about perfect,2021/9/17,This is an excellent jump starter.  I can't believe how well it maintains a charge.  Better than anything I have ever owned and used in the past.
5,"Solid built, Fast to charge up, works awesome",2021/5/26,"I have tried several and this is by far the best I have experienced.  This bad boy has everything you need except the carrying case.  charges from o% to 100% in about 1 hour 15 minutes.  Battery connector/claws are solid - not cheap flimsy. Use it to charge your devices on a road trip or any sort of travel.  due to its size, I am not certain that the airlines would allow it in your carry on bag <?>"
5,Compact and reliable.,2022/2/10,This is a great buy. My car was having electric issues and something was draining the battery. I purchased the Hulkman Alpha85 jump starter. It was as easy as 1-2-3. My car started right away when I would use the Hulkman Alpha85. It will not disappoint! 5 stars!
5,BUY It!!!,2022/3/20,This is everything they say it is! Easy to use…sleek….modern. Everyone should own one for each car. My 2017 Lexus battery has zero charge/batter completely dead. I followed the easy instructions and car start right up.  I almost never write reviews. Thank you to those who did. I’m ordering for all my family members. Money well spent.
5,This thing works,2021/9/14,"This thing is a tank and works like a gem.  Very high quality, very durable(it seems) and well made.  This basically replaced my jumper cables and a neighbor.  From 100% it goes to 91% after one use.  It holds battery life well.  After one month in the trunk(hot weather), battery had drained only 2%."
5,Excellent durable piece of equipment,2022/2/28,Very high quality piece of kit. Durable. Massive capacity. Jumps reliably. Now a essential part of my toolset. Also can charge phones or be connected to an inverter via a cigarette lighter port to power full power plugs.
2,Did not start dead battery,2021/12/21,It had a full charge and was unable to start my car's 3.5L V6 engine. Had to jump start the old fashion way with another car.
5,Good product and would buy again.,2022/1/21,Definitely a product that you need as a backup.  Boat motor battery died and jump started it 8x that day while fishing.
5,Worked perfectly. Great product,2021/4/20,Used to start a Freightliner truck with 2 batteries. Started quicker than jumper cables to a running car. Good product.
5,Worth every penny.,2021/6/24,"I was skeptical about this when I ordered it but that went away quickly after I had to use it two days after I received it,  I hooked it to a completely dead battery and it started on the first try. I would highly recommend this!"
5,Super powerful,2022/1/6,"Had a couple of vehicles with dead batteries and was able to jump both with over 85% reserve left.
Must have investment. Say goodbye to jumper cables."
5,Great!,2021/7/14,"Haven’t had a chance to use it, but, the packaging, design, material quality shows the engineering behind the product. So that’s why I decided to give it five star."
5,Small and mighty,2022/2/3,They are small but they are mighty. Wouldn’t recommend to do it often but you can jump a semi tractor with it. Love it
5,This Works!,2022/2/20,"This product works. 26 degrees in the middle of a February night and a dead battery that has been drained to start a cold start engine. Connected the clamps, started on first attempt. Worth every penny and more.
Buying two more for my wife's and son's car."
5,A Must Have for Car Safety,2021/1/14,"I bought this just in time. Moved to New England from Arizona just in time for a good snow. I had not driven my truck for a few months and it wouldn’t start, so I got to use this immediately! Started my truck up immediately in blistering cold weather. I need to purchase a second one for my Van Life van I just purchased as I plan to have one of these in each of my vehicle. Super simple to use and something that will save you much time and effort when you are jammed up with a dead battery."
5,Super High Quality and Craftsmanship,2021/5/2,Thought about taking a star off because they say the life expectancy is only 3 years. But based on the exceptional design and build quality I'm sure they did the best anyone could.
5,This is the one to buy.,2021/5/28,Very impressed with this product. This is a high-quality well made piece of equipment. Extraordinary value for the money. Arrived at 77% took approximately 5 minutes to fully charge. By far one of the best products I've seen in a long time. I would highly recommend this product.
5,Awesome!,2021/12/18,"This is a great product! It came 85% charged, we used it right away with no problems at all. It’s very easy to use and works so much faster than jumping a battery with another car! Highly recommend!!"
5,Awesome device!,2021/11/15,"Super easy to use, small, powerful. Safety mechanism is nice, but also able to be bypassed in case of a completely flat battery."
5,Must have for each car.,2021/11/11,"I bought one for each auto a day after our Pilot's battery died, and I we had to wait over an hour for a roadside assistance. The day after it arrived, I used it to jump a Ford Expedition. It was easy, and only used 3 percent of the battery. Every car should have one."
5,Saves us a tiw,2021/12/29,Wow! This is easy to use and works well. We had to jump the car 8 times to get to the mechanics and it was still at 86%.
5,User-friendly and robust jump starter. As advertised,2021/3/13,"This starter is powerful, easy to use, and easy to store because of its compact size. I used it to start my 2005 Toyota Camry and it took all of 1 try and my car had been running ever since."
5,Powerful and Simple,2021/12/25,I've used several jump boxes in the past.  This is by far the best.  No problem jumping a ram diesel.  Highly recommended.
4,Very nice but 1 flaw,2021/4/25,"Works well, solid heavy and quality unit. My only complaint is that if your car is completely dead with no juice whatsoever in the battery this unit will not recognize the battery at all."
5,It’s electric!,2021/3/12,"We have not had to use it yet, but we liked the how long the battery maintained its charge.  It is compact which is nice because it fits right inside the glove box. Compared many brands before deciding on this one."
5,Worked 4.0!,2021/7/16,Started car 3 times straight from the box.  Still over 60 % charge.  Little big and heavier than I would like but worked perfectly.  No carrying case included which is disappointing.
5,Powerful and compact,2021/6/7,I like the compact size. Takes no time flat to charge with the included wall plug. Very strong and charges a car battery in little time. A coworker left his lights on and we used it on his battery. Took less that 3 minutes to start his car.
5,Impressive,2021/5/2,Worked exactly as advertised the charging was extremely fast and I was able to charge it to 100 % from 85% in no time. I boosted off my first vehicle chevy tahoe 5.8l and it boosted in 10 sec. I have never boosted a dead battery instantly like this in all my years smh. It only used like 2% too. I recommend for anyone.
5,THIS IS THE BEST PRODUCT I EVER PURCHASED ON AMAZON!!!!!!!,2021/10/6,"I started my car -with no problems.  it was perfect.  sometimes you look at a review, and .. well it was written by the cousin or someone.  Not here.  I came without expectations, and walked away with the best item for a car I ever bought..It worked as advertised, and it was perfect...."
5,Highly recommended,2021/7/15,"Very satisfied. I used it on a dead and bad battery of my minivan and It didn’t have any problem to make it start again.
It charges it super fast any device that you plug in.
To Fully charge it takes about 30 min."
3,Easy to use but not enough power,2021/7/7,"Easy to use and fast charging, however, does not have enough power to start a diesel truck with 2 batteries in it. Nonetheless, the specification needs updating."
5,"Easy, worked perfectly",2021/2/28,"This portable jump starter worked great right out of the box. My wife’s car wouldn’t start after sitting in the garage for most of the winter. The way it was parked made it difficult to use jumper cables, and this seemed like a useful thing to have around.

I attached the clips to the battery as per the instructions and the car started right up. I charged it fully afterwards with the AC wall charger and it was fast - about 20 minutes from 50% to full."
5,Dead Car battery,2021/12/27,It works great.  We have a 2006 Sonata that has been sitting in our garage with a dead battery no lights for months.  The charger as advertised was easy to use.  Since the battery was dead I had to force the charge and the car started.
5,A good buy,2022/3/3,"Small enough to carry in car or on motorcycle. Powerful enough to start a diesel.

Don’t leave home without it."
1,Not worth the $$,2022/5/4,"Used it twice will not work has a error code 2, its junk do not waste your time or $$"
5,Definitely worth the buy!!!,2021/4/28,"Definitely worth the buy! Packaged well, well made, simple instructions, nice big led screen, I really like it! It charged my dead battery in my 65 Mustang V8 331 Stroker right up. I’m very impressed. I also picked up the carrying case(worth it). It’s well made and the speed charger recharges it from 0-100% within 15min. Now I can move my regular jumper cables to my older truck and keep this in my newer suv."
5,Good as expected,2022/4/2,Not the cheapest option but it’s well worth the money. Buy cheap get cheap… you know? This one can handle very nicely. Well constructed and looks durable. 100% recomend
5,Perfect Size!,2021/7/18,Great size. I have yet to be able to use this but when I do I'm sure I will be pleased. Good quality purchase that anyone who has a car should invest in.
5,amaaaaaazing,2022/3/11,works like a charm on my v8 Chevy Tahoe!  and it charges soooooo fast too!!! recommend!!!
5,Excellent Product!!!!,2021/6/3,"I personally feel that anyone who owns a car should own some version of a jumpbox. This one is a great choice because you are also getting a flashlight and a backup phone battery, and if you have a roadside tool that uses cig lighter port a battery for that as well. And the LCD display makes it easy to know when to charge it. It charges in less than an hr too. This product is amazing don't be caught on the road without it."
5,Just in case,2022/5/26,I bought this hoping that I never have to use it. Seems like it’s well made.
5,plenty of power,2022/4/1,"has plenty of power, cables could have been a little longer but they get the job done"
2,DIFFICULT TO USE,2021/10/19,"The worst thing is the tiny button to activate jump start. Short lived after a few months , having had little the battery expanded and broke the case."
5,Brings a dead vehicle back to life!,2021/9/1,I use this booster to start a Chevy motorhome with a 454 that had not been cranked in 4 years. The booster started it even without a battery in the motorhome.
5,Works awesome,2021/7/7,"Car battery was completely dead, jump started for 15 minutes with no luck. Hooked the battery pack up, pressed the fast start buttons and she fired right up!"
5,does work,2021/12/28,have used it a few times it does start the car  an still have enough  to start another one  handle to have
5,Great product,2021/1/18,"I bought this product because it is user friendly. It tells you when it's ready and it clearly displays the power level of the jumper. Overall, it's a bit thicker than i anticipated but, it works well. Easy to use SOLD me"
5,Exactly what I needed,2022/1/24,"Just received charged as instructed works as expected
I used it with 3 day I had it. It started heavy duty diesel with no hesitation
Top quality look and packaging with top quality results"
5,Product is awesome,2022/2/17,"Product is awesome but they took 2 weeks to ship it, if you can find it elsewhere I would buy it there"
5,As listed,2021/7/18,Started my f150 0 with out any effort when I left the door lights on all day.Batterys old.On with my day righty o.should come with a cloth case though?
5,Works great,2022/5/13,Works and is well built. I also purchased the case and it fits great.
5,It works great.,2021/11/8,"I finely had to use it, twice, and I was impressed with the Alpha85 jump starter.  A great item to have.  Money well spent."
5,Will buy again,2021/7/25,"Out of this world amazing , easy to use and did multiple jumps and still has battery left
This is an amazing product with no regrets"
5,Top tier. Maybe even the best on the market,2022/5/4,"This thing's size, look, and ease of use are really hard to beat. And it has the feature set and price to match. If you are thinking about getting it, just get it."
5,Great jump starter,2021/8/9,Works great and does the job. Did some research and this seemed to be both reasonably priced and effective in starting a dead battery. Good buy and worth the $100
5,Love the Hulkman Jump Start Battery Charger.,2022/5/10,"I love this Hulkman.
It has charged so many vehicles and lawnmowers.
Quick and easy.
My Husband loves the Hulkman Jump Start Battery Charger."
4,It works,2020/12/20,Works as it should would’ve been nice if it would I had a case for all the accessories
5,Glad I had it...,2022/3/21,"I didn't expect to need to use the JumpStarter, but I have used it twice.  It works very well."
5,Heavy duty,2022/2/8,Lots of power. Holds a charge. Larger than my last one and won’t fit in glove compartment
